"Index","Open","High","Low","Close","Volume"
"1970-01-02",85.35,86.72,84.8,86.7,3743
"1970-01-03",86.9,88.05,86.15,87.27,5133
"1970-01-04",87.4,87.7,86.87,87.2,2722
"1970-01-05",87.6,87.6,85.7,86,3427
"1970-01-06",86,86.1,84.5,84.5,3732
"1970-01-07",84.4,86,84.4,85.22,3454
"1970-01-08",84.65,85.6,84.55,85.15,2570
"1970-01-09",85.2,86.15,84.6,86.07,2974
"1970-01-10",86.65,86.95,85.55,85.65,3081
"1970-01-11",86.05,86.35,84.7,85.3,2620
"1970-01-12",85.7,86.8,85.7,86.57,2351
"1970-01-13",86.1,86.15,85.1,85.35,3023
"1970-01-14",84.9,85.35,84.05,84.15,3482
"1970-01-15",84.7,85.1,83.9,84.55,3767
"1970-01-16",84.9,85.07,84.12,84.72,2799
"1970-01-17",84.8,84.95,83.4,83.8,2810
"1970-01-18",84.15,84.5,83.3,83.9,2792
"1970-01-19",84.65,84.9,84.25,84.7,2348
"1970-01-20",84.5,84.6,83.75,83.85,1644
"1970-01-21",83.6,83.77,82.6,82.82,2034
"1970-01-22",84.07,84.27,83.67,84.22,2180
"1970-01-23",83.97,84.74,83.87,83.94,3387
"1970-01-24",84.17,84.97,84.02,84.67,2732
"1970-01-25",85.39,85.49,84.89,85.42,3037
"1970-01-26",85.27,85.87,85.19,85.29,2941
"1970-01-27",85.17,85.72,85.04,85.67,2656
"1970-01-28",85.97,86.97,85.97,86.82,3755
"1970-01-29",87.82,87.82,86.92,87.34,2516
"1970-01-30",87.77,88.17,87.02,87.49,2667
"1970-01-31",86.87,87.02,86.22,86.54,2468
"1970-02-01",86.47,87.02,86.12,86.97,2706
"1970-02-02",86.87,87.72,86.47,87.57,2572
"1970-02-03",87.27,87.37,86.37,86.62,2158
"1970-02-04",86.67,86.92,86.22,86.54,2322
"1970-02-05",86.52,86.72,85.92,86.57,2671
"1970-02-06",86.57,86.87,86.37,86.57,1869
"1970-02-07",86.42,87.02,86.02,86.09,2235
"1970-02-08",85.17,85.24,84.59,84.62,3271
"1970-02-09",84.92,85.32,84.79,84.97,1892
"1970-02-10",84.97,85.17,84.47,85.07,1865
"1970-02-11",85.12,85.72,85.12,85.57,1915
"1970-02-12",85.57,85.84,85.07,85.14,1867
"1970-02-13",85.32,85.57,84.77,84.94,2488
"1970-02-14",84.77,85.54,84.77,85.49,2273
"1970-02-15",85.47,86.47,85.47,86.42,2923
"1970-02-16",86.42,86.62,85.82,85.97,1963
"1970-02-17",86.07,86.77,85.77,86.64,1792
"1970-02-18",86.92,87.22,86.34,86.82,2543
"1970-02-19",86.87,87.02,86.07,86.52,2093
"1970-02-20",86.17,86.79,85.94,86.52,1943
"1970-02-21",86.67,87.27,86.59,87.19,2080
"1970-02-22",87.52,87.57,87.22,87.32,1357
"1970-02-23",87.02,87.67,86.79,87.62,1145
"1970-02-24",87.37,88.27,87.17,87.49,1925
"1970-02-25",87.62,87.87,86.87,87.29,1424
"1970-02-26",87.37,88.07,87.37,87.97,1136
"1970-02-27",87.87,88.19,87.67,87.99,1037
"1970-02-28",87.97,88.02,87.27,87.52,955
"1970-03-01",87.47,88.52,87.47,88.22,1472
"1970-03-02",88.07,89.42,87.87,88.84,1730
"1970-03-03",88.74,89.19,88.31,88.86,2722
"1970-03-04",88.84,89.39,88.61,89.16,2398
"1970-03-05",89.74,90.66,89.74,90.66,2454
"1970-03-06",90.14,90.79,90.14,90.44,2325
"1970-03-07",91.39,91.94,91.39,91.94,2015
"1970-03-08",91.84,92.64,91.46,91.94,2793
"1970-03-09",92.14,92.89,91.89,92.86,2597
"1970-03-10",92.64,93.79,92.59,93.71,3110
"1970-03-11",93.19,93.39,92.74,92.91,2468
"1970-03-12",93.14,93.64,92.04,92.64,3179
"1970-03-13",92.84,93.29,92.34,93.21,2309
"1970-03-14",94.14,94.54,93.39,93.64,3098
"1970-03-15",93.04,94.34,92.96,94.24,2997
"1970-03-16",93.94,94.01,93.26,93.61,2593
"1970-03-17",93.16,93.89,92.84,93.81,2439
"1970-03-18",93.44,93.54,92.34,92.39,2729
"1970-03-19",92.24,92.91,91.64,91.69,2962
"1970-03-20",91.49,92.09,90.96,91.29,3416
"1970-03-21",91.44,92.46,91.44,92.39,2311
"1970-03-22",92.74,92.89,92.21,92.29,2491
"1970-03-23",92.04,92.51,91.86,92.19,1998
